wmo_index,station_name,country_area,latitude_deg,longitude_deg,station_name_ja
64851,MAROUA-SALAK,CAMEROON,10.45,14.25,
64860,GAROUA,CAMEROON,9.333333333333334,13.383333333333333,
64870,NGAOUNDERE,CAMEROON,7.35,13.566666666666666,
64880,BANYO,CAMEROON,6.783333333333333,11.816666666666666,
64882,MEIGANGA,CAMEROON,6.533333333333333,14.366666666666667,
64890,MAMFE,CAMEROON,5.716666666666667,9.283333333333333,
64892,BAMENDA,CAMEROON,6.05,10.116666666666667,
64893,KOUNDJA,CAMEROON,5.65,10.75,
64900,YOKO,CAMEROON,5.55,12.366666666666667,
64901,BETARE-OYA,CAMEROON,5.6,14.066666666666666,
64910,DOUALA OBS.,CAMEROON,4.0,9.733333333333333,
64910,DOUALA R.S.,CAMEROON,4.016666666666667,9.7,
64911,NKONGSAMBA,CAMEROON,4.95,9.933333333333334,
64920,BAFIA,CAMEROON,4.733333333333333,11.25,
64930,BERTOUA,CAMEROON,4.6,13.733333333333333,
64931,BATOURI,CAMEROON,4.466666666666667,14.366666666666667,
64950,YAOUNDE,CAMEROON,3.8333333333333335,11.516666666666667,
64960,ABONG-MBANG,CAMEROON,3.966666666666667,13.2,
64961,LOMIE,CAMEROON,3.15,13.616666666666667,
64971,KRIBI,CAMEROON,2.95,9.9,
64600,BERBERATI,CENTRAL AFRICAN REPUBLIC,4.25,15.8,
64601,BOUAR,CENTRAL AFRICAN REPUBLIC,5.966666666666667,15.633333333333333,
64605,BOSSEMBELE,CENTRAL AFRICAN REPUBLIC,5.266666666666667,17.633333333333333,
64610,BOSSANGOA,CENTRAL AFRICAN REPUBLIC,6.483333333333333,17.433333333333334,
64650,BANGUI,CENTRAL AFRICAN REPUBLIC,4.4,18.516666666666666,
64654,N'DELE,CENTRAL AFRICAN REPUBLIC,8.4,20.65,
64655,BRIA,CENTRAL AFRICAN REPUBLIC,6.533333333333333,21.983333333333334,
64656,BANGASSOU,CENTRAL AFRICAN REPUBLIC,4.733333333333333,22.833333333333332,
64658,BIRAO,CENTRAL AFRICAN REPUBLIC,10.283333333333333,22.783333333333335,
64659,OBO,CENTRAL AFRICAN REPUBLIC,5.4,26.5,
64660,BAMBARI,CENTRAL AFRICAN REPUBLIC,5.85,20.65,
64661,YALINGA,CENTRAL AFRICAN REPUBLIC,6.5,23.266666666666666,
64662,ALINDAO,CENTRAL AFRICAN REPUBLIC,5.05,21.2,
64665,MOBAYE,CENTRAL AFRICAN REPUBLIC,4.316666666666666,21.183333333333334,
64700,NDJAMENA,CHAD,12.133333333333333,15.033333333333333,
64701,MAO,CHAD,14.116666666666667,15.316666666666666,
64702,BOL-BERIM,CHAD,13.433333333333334,14.733333333333333,
64705,BOUSSO,CHAD,10.483333333333333,16.716666666666665,
64706,MOUNDOU,CHAD,8.566666666666666,16.066666666666666,
64707,MOUSSORO,CHAD,13.65,16.5,
64708,BOKORO,CHAD,12.383333333333333,17.05,
64709,PALA,CHAD,9.366666666666667,14.966666666666667,
64750,SARH,CHAD,9.15,18.383333333333333,
64751,ATI,CHAD,13.216666666666667,18.316666666666666,
64753,FAYA,CHAD,18.0,19.166666666666668,
64754,AM-TIMAN,CHAD,11.033333333333333,20.283333333333335,
64755,GOZ-BEIDA,CHAD,12.233333333333333,21.416666666666668,
64756,ABECHE,CHAD,13.85,20.85,
64757,FADA,CHAD,17.166666666666668,21.55,
64758,MONGO,CHAD,12.183333333333334,18.683333333333334,
67001,MORONI AIRPORT (GRANDE-COMORE),COMOROS,-11.7,43.233333333333334,
67002,HAHAYA INT. AIRPORT,COMOROS,-11.533333333333333,43.266666666666666,
67004,OUANI (ANJOUAN),COMOROS,-12.116666666666667,44.43333333333333,
67005,PAMANDZI (MAYOTTE),COMOROS,-12.805555555555557,45.282777777777774,
64400,POINTE-NOIRE,CONGO,-4.816666666666666,11.9,
64401,DOLISIE,CONGO,-4.2,12.7,
64402,MOUYONDZI,CONGO,-4.0,13.95,
64403,MAKABANA,CONGO,-3.4833333333333334,12.616666666666667,
64405,SIBITI,CONGO,-3.6833333333333336,13.35,
64450,BRAZZAVILLE /MAYA-MAYA,CONGO,-4.25,15.25,
64452,M'POUYA,CONGO,-2.6166666666666667,16.216666666666665,
64453,DJAMBALA,CONGO,-2.533333333333333,14.766666666666667,
64454,GAMBOMA,CONGO,-1.9,15.85,
64456,MAKOUA,CONGO,-0.016666666666666666,15.65,
64458,OUESSO,CONGO,1.6166666666666667,16.05,
64459,IMPFONDO,CONGO,1.6166666666666667,18.066666666666666,
64460,SOUANKE,CONGO,2.066666666666667,14.033333333333333,
64462,KELLE,CONGO,0.1,13.55,
64463,EWO,CONGO,-5.583333333333333,14.816666666666666,
65528,ODIENNE,COTE D'IVOIRE,9.5,-7.566666666666666,
65536,KORHOGO,COTE D'IVOIRE,9.416666666666666,-5.616666666666667,
65545,BONDOUKOU,COTE D'IVOIRE,8.05,-2.783333333333333,
65548,MAN,COTE D'IVOIRE,7.383333333333334,-7.516666666666667,
65555,BOUAKE,COTE D'IVOIRE,7.733333333333333,-5.066666666666666,
65557,GAGNOA,COTE D'IVOIRE,6.133333333333334,-5.95,
65560,DALOA,COTE D'IVOIRE,6.866666666666667,-6.466666666666667,
65562,DIMBOKRO,COTE D'IVOIRE,6.65,-4.7,
65563,YAMOUSSOUKRO,COTE D'IVOIRE,6.9,-5.35,
65578,ABIDJAN,COTE D'IVOIRE,5.25,-3.9333333333333336,
65585,ADIAKE,COTE D'IVOIRE,5.3,-3.3,
65592,TABOU,COTE D'IVOIRE,4.416666666666667,-7.366666666666666,
65594,SAN PEDRO,COTE D'IVOIRE,4.75,-6.65,
65599,SASSANDRA,COTE D'IVOIRE,4.95,-6.083333333333333,
64005,MBANDAKA,DEMOCRATIC REPUBLIC OF THE CONGO,0.05,18.266666666666666,
64006,GEMENA,DEMOCRATIC REPUBLIC OF THE CONGO,3.283333333333333,19.783333333333335,
64008,BASANKUSU,DEMOCRATIC REPUBLIC OF THE CONGO,1.2166666666666668,19.8,
64014,LISALA,DEMOCRATIC REPUBLIC OF THE CONGO,2.3166666666666664,21.566666666666666,
64015,LIBENGE,DEMOCRATIC REPUBLIC OF THE CONGO,3.6333333333333333,18.633333333333333,
64016,BUMBA,DEMOCRATIC REPUBLIC OF THE CONGO,2.183333333333333,22.55,
64018,BASOKO,DEMOCRATIC REPUBLIC OF THE CONGO,1.25,23.6,
64021,BONDO,DEMOCRATIC REPUBLIC OF THE CONGO,3.8,23.816666666666666,
64034,BUTA,DEMOCRATIC REPUBLIC OF THE CONGO,2.783333333333333,24.783333333333335,
64040,KISANGANI,DEMOCRATIC REPUBLIC OF THE CONGO,0.5166666666666667,25.183333333333334,
64056,BAFWASENDE,DEMOCRATIC REPUBLIC OF THE CONGO,1.0833333333333333,27.133333333333333,
64062,ISIRO,DEMOCRATIC REPUBLIC OF THE CONGO,2.7666666666666666,27.65,
64071,MAMBASA,DEMOCRATIC REPUBLIC OF THE CONGO,1.3666666666666667,29.066666666666666,
64072,BUTEMBO,DEMOCRATIC REPUBLIC OF THE CONGO,0.13333333333333333,29.266666666666666,
64074,WATSA,DEMOCRATIC REPUBLIC OF THE CONGO,3.066666666666667,29.5,
64076,BUNIA,DEMOCRATIC REPUBLIC OF THE CONGO,1.5,30.216666666666665,
64077,BUNIA-RUAMPARA,DEMOCRATIC REPUBLIC OF THE CONGO,1.5666666666666667,30.216666666666665,
64101,LUKOLELA,DEMOCRATIC REPUBLIC OF THE CONGO,-1.05,17.2,
64108,BANDUNDU,DEMOCRATIC REPUBLIC OF THE CONGO,-3.3,17.35,
64115,INONGO,DEMOCRATIC REPUBLIC OF THE CONGO,-1.9666666666666668,18.266666666666666,
64126,BOENDE,DEMOCRATIC REPUBLIC OF THE CONGO,-0.21666666666666667,20.85,
64146,LODJA,DEMOCRATIC REPUBLIC OF THE CONGO,-3.4833333333333334,23.466666666666665,
64155,KINDU,DEMOCRATIC REPUBLIC OF THE CONGO,-2.95,25.916666666666668,
