year,date,day_of_year,month,day,event,station_name_jp,station_name_en,station_name_ja,jma_station_code,wmo_station_id,country_area,latitude_deg,longitude_deg
1994,1994-04-07,97,4,7,full_bloom,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1995,1995-04-10,100,4,10,full_bloom,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1996,1996-04-05,96,4,5,full_bloom,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1997,1997-03-31,90,3,31,full_bloom,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1998,1998-04-06,96,4,6,full_bloom,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1999,1999-03-28,87,3,28,full_bloom,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
2000,2000-04-08,99,4,8,full_bloom,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1953,1953-03-29,88,3,29,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1954,1954-03-28,87,3,28,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1955,1955-03-24,83,3,24,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1956,1956-04-04,95,4,4,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1957,1957-04-06,96,4,6,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1958,1958-03-25,84,3,25,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1959,1959-03-23,82,3,23,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1960,1960-03-29,89,3,29,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1961,1961-03-29,88,3,29,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1962,1962-04-02,92,4,2,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1963,1963-04-05,95,4,5,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1964,1964-04-01,92,4,1,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1965,1965-04-05,95,4,5,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1966,1966-03-26,85,3,26,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1967,1967-03-30,89,3,30,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1968,1968-04-02,93,4,2,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1969,1969-04-04,94,4,4,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1970,1970-04-05,95,4,5,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1971,1971-04-01,91,4,1,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1972,1972-04-02,93,4,2,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1973,1973-03-28,87,3,28,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1974,1974-03-31,90,3,31,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1975,1975-03-28,87,3,28,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1976,1976-03-25,85,3,25,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1977,1977-03-26,85,3,26,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1978,1978-03-31,90,3,31,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1979,1979-03-28,87,3,28,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1980,1980-04-02,93,4,2,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1981,1981-03-27,86,3,27,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1982,1982-03-23,82,3,23,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1983,1983-03-31,90,3,31,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1984,1984-04-06,97,4,6,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1985,1985-04-02,92,4,2,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1986,1986-04-02,92,4,2,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1987,1987-03-24,83,3,24,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1988,1988-04-04,95,4,4,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1989,1989-03-22,81,3,22,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1990,1990-03-20,79,3,20,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1991,1991-04-05,95,4,5,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1992,1992-03-27,87,3,27,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1993,1993-04-02,92,4,2,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1994,1994-04-02,92,4,2,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1995,1995-04-01,91,4,1,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1996,1996-03-31,91,3,31,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1997,1997-03-25,84,3,25,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1998,1998-03-26,85,3,26,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
1999,1999-03-29,88,3,29,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2000,2000-03-28,88,3,28,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2001,2001-03-26,85,3,26,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2002,2002-03-19,78,3,19,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2003,2003-03-25,84,3,25,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2004,2004-03-23,83,3,23,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2005,2005-03-31,90,3,31,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2006,2006-03-25,84,3,25,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2007,2007-03-23,82,3,23,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2008,2008-03-26,86,3,26,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2009,2009-03-18,77,3,18,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2010,2010-03-20,79,3,20,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2011,2011-03-30,89,3,30,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2012,2012-03-30,90,3,30,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2013,2013-03-19,78,3,19,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2014,2014-03-25,84,3,25,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2015,2015-03-25,84,3,25,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2016,2016-03-28,88,3,28,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2017,2017-03-29,88,3,29,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2018,2018-03-23,82,3,23,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2019,2019-03-25,84,3,25,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2020,2020-03-24,84,3,24,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2021,2021-03-16,75,3,16,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2022,2022-03-25,84,3,25,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2023,2023-03-22,81,3,22,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
2024,2024-03-29,89,3,29,flowering,下関,SHIMONOSEKI,下関,762,47762,JAPAN,33.948611111111106,130.9261111111111
