jma_station_code,wmo_station_id,station_name_jp,station_name_en,station_name_ja,province,climate_classification_koppen,first_year,last_year,total_years,total_records,mean_day_of_year,median_day_of_year,std_day_of_year,earliest_day_of_year,latest_day_of_year,latitude_deg,longitude_deg,city,subprovince
420,47420,根室,NEMURO,根室,北海道,Dfb,1960,2010,50,50,144.88,144.0,5.59,133,160,43.33055555555556,145.58555555555557,根室市,根室振興局
778,47778,潮岬,SHIONOMISAKI,潮岬,和歌山県,Cfa,1958,2009,50,50,95.26,95.5,4.3,85,104,33.45027777777778,135.75722222222225,,
776,47776,洲本,SUMOTO,洲本,兵庫県,,1953,2002,49,49,96.76,97.0,4.5,86,106,34.33833333333334,134.905,洲本市,
936,47936,那覇,NAHA,那覇,沖縄県,Cfa,1976,2024,48,48,34.46,34.0,7.08,23,50,26.20722222222222,127.68722222222225,那覇市,
675,47675,大島,OSHIMA,大島,,Cfa,1954,2009,47,47,94.68,95.0,4.45,82,104,34.74944444444444,139.36305555555555,東京都,
597,47597,白河,SHIRAKAWA,白河,福島県,,1953,1997,45,45,110.69,110.0,4.68,100,123,37.13166666666667,140.21499999999995,白河市,
945,47945,南大東島,MINAMIDAITOJIMA,南大東島,沖縄県,Af,1971,2022,44,44,34.23,32.0,8.66,21,61,25.828888888888887,131.22861111111112,,
440,47440,広尾,HIROO,広尾,北海道,Dfb,1958,1998,41,41,132.17,131.0,6.02,120,152,42.29444444444445,143.31666666666666,,十勝総合振興局
520,47520,新庄,SHINJO,新庄,山形県,Dfa,1958,1997,40,40,117.8,118.0,4.89,107,132,38.75694444444444,140.31222222222223,新庄市,
837,47837,種子島,TANEGASHIMA,種子島,鹿児島県,Cfa,1953,2007,39,39,95.67,95.0,7.77,79,117,30.720277777777778,130.98250000000002,西之表市,
892,47892,宇和島,UWAJIMA,宇和島,愛媛県,,1967,2005,39,39,92.82,93.0,4.49,82,101,33.22777777777778,132.55305555555557,宇和島市,
672,47672,館山,TATEYAMA,館山,千葉県,,1969,2006,38,38,96.92,97.0,4.33,86,106,34.98694444444445,139.86527777777778,館山市,
677,47677,三宅島,MIYAKEJIMA,三宅島,,,1965,2000,34,34,95.09,96.0,4.67,85,104,34.12388888888889,139.5213888888889,東京都,
822,47822,延岡,NOBEOKA,延岡,宮崎県,,1962,1994,33,33,93.0,93.0,3.95,86,101,32.581944444444446,131.65805555555556,延岡市,
929,47929,久米島,KUMEJIMA,久米島,沖縄県,,1962,2004,31,31,32.87,33.0,6.98,15,51,26.33805555555556,126.80388888888888,,
917,47917,西表島,IRIOMOTEJIMA,西表島,沖縄県,,1975,2002,24,24,36.92,36.5,10.52,21,62,24.42777777777778,123.76555555555557,,
940,47940,名護,NAGO,名護,沖縄県,,1977,2002,23,23,29.48,28.0,6.35,18,43,26.594166666666663,127.96638888888889,名護市,
912,47912,与那国島,YONAGUNIJIMA,与那国島,沖縄県,,1992,2007,16,16,46.38,45.5,8.82,31,62,24.466666666666665,123.01055555555556,,
836,47836,屋久島,YAKUSHIMA,屋久島,鹿児島県,,1991,1991,1,1,100.0,100.0,,100,100,30.385555555555555,130.65916666666666,,
